Id,ComponentName,Domain,Operating System,Language,Functionality,preCondition,postCondition
398,LogoutBook,Hotel Booking,Linux,JavaFX,logout or book another hotel,paymentDone,isLoggedIn:Boolean
399,PassengerDetails,Railway Booking,Linux,JavaFX,"add details of passenger with input of name , age , gender  , phone number ",x,x
400,PassengerDetails,Bus Booking,Linux,JavaFX,"add details of passenger with input of name , age , gender  , phone number ",x,x
401,PaymentFailedDialog,x,Linux,JavaFX,failed payment dialog,paymentFailed,x
402,PaymentSuccessfullDialog,x,Linux,JavaFX,successful payment dialog,paymentSuccessful,x
403,PaymentUI,x,Linux,JavaFX,payment  page with option like upi debit card and credit card,"amount,gstUpdated","paymentDone:Boolean,paymentSuccessful:Boolean,paymentFailed:Boolean"
404,RegisterUI,x,Linux,JavaFX,register page using username password and confirm password,register,isRegistered:Boolean
405,RoomRentCalculator,Hotel Booking,Linux,JavaFX,calculate fare using room type and number of person,"baseRentCost,roomTypeS,numGuests",rentingCost:Double
406,RoomType,Hotel Booking,Linux,JavaFX,room type and number of guests dropdown ,baseRentCost,"numGuests:Integer,roomTypeS:String"
407,SearchBookUI,Library Management,Linux,JavaFX,search box to enter book name,searchBook,searchString:String
408,TrainBookingConfirmed,Railway Booking,Linux,JavaFX,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
409,TrainDisplayUI,Railway Booking,Linux,JavaFX,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
410,BusBookingConfirmed,Bus Booking,Linux,JavaFX,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
411,BusDisplayUI,Bus Booking,Linux,JavaFX,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
412,VideoList,Online Video,Linux,JavaFX,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
413,YoutubeVideoPlay,Online Video,Linux,JavaFX,youtube video player with video id ,videoId,x
414,AddBookUI,Library Management,MacOS,Java,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
415,AddBookUI,Supply Chain,MacOS,Java,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
416,AgeDisplayUI,Educational,MacOS,Java,display the age in years,age:Integer,x
417,AuthorNameAndGenre,Library Management,MacOS,Java,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
418,AuthorNameAndGenre,Supply Chain,MacOS,Java,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
419,BerthAvailabilty,Railway Booking,MacOS,Java,"check for available berths using the values like train number ,DOJ, from and to city",x,x
420,BookAddedSuccessfullyDialog,Library Management,MacOS,Java,book added sucessfully dialog,bookAddedSuccessful,x
421,BookAddedSuccessfullyDialog,Supply Chain,MacOS,Java,book added sucessfully dialog,bookAddedSuccessful,x
422,BookList,Library Management,MacOS,Java,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
423,BookList,Supply Chain,MacOS,Java,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
424,BookRentingCost,Library Management,MacOS,Java,book renting cost with number of days,bookRentCost,rentingCost:Double
425,CalculateAge,Educational,MacOS,Java,calculate age using dob with date format dd-mm-yyyy,"day:String,month:String,year:String",age:Integer
426,CalculateAgeUI,Educational,MacOS,Java,date of birth input ui using date picker,x,x
427,CityNameDropdown,Hotel Booking,MacOS,Java,city name dropdown,isLoggedIn,cityName:String
428,CityNameWithState,Hotel Booking,MacOS,Java,city name dropdown with state,x,x
429,ClassTypeAndQuota,Railway Booking,MacOS,Java,class type dropdown and quota type dropdown,x,x
430,ClassTypeAndQuota,Bus Booking,MacOS,Java,class type dropdown and quota type dropdown,x,x
431,DateOfJourney,Bus Booking,MacOS,Java,date of journey input,x,x
432,DateOfJourney,Railway Booking,MacOS,Java,date of journey input,x,x
433,EnterDateBooking,Hotel Booking,MacOS,Java,date of booking input,baseRentCost,"day:String,month:String,year:String"
434,EnterDateUI,Educational,MacOS,Java,DOB input date picker with date format dd-mm-yyyy,x,"day:String,month:String,year:String"
435,FromCityToCity,Bus Booking,MacOS,Java,From city dropdown and to city dropdown select,x,x
436,FromCityToCity,Railway Booking,MacOS,Java,From city dropdown and to city dropdown select,x,x
437,FromCityToCityDOJ,Flight Booking,MacOS,Java,From city dropdown and to city dropdown and date of journey select,x,x
438,FromDateToDate,Hotel Booking,MacOS,Java,from date and to date input,x,x
439,GetFlights,Flight Booking,MacOS,Java,"get flights button to search for flights using from city name , to city name and date of journey",x,x
440,GetTrains,Railway Booking,MacOS,Java,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
441,GSTCalculator,x,MacOS,Java,gst calculate on amount or fare,rentingCost:Double,"amount:Double,gstUpdated:Boolean"
442,HotelList,Hotel Booking,MacOS,Java,"hotels list display, select hotel to get base cost",ids,baseRentCost:Double
443,HotelRentCalculator,Hotel Booking,MacOS,Java,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
444,HotelSearch,Hotel Booking,MacOS,Java,search hotels using city name,cityName,ids:String[]
445,LibraryHomeUI,Library Management,MacOS,Java,homepage for library with options to search and add book,isLoggedIn,"addBook:Boolean,searchBook:Boolean"
446,LoginError,x,MacOS,Java,login error page,"loginDone,isLoggedIn",x
447,LoginUI,x,MacOS,Java,login using username password with register option,x,"loginDone:Boolean,isLoggedIn:Boolean,register:Boolean"
448,LogoutBook,Hotel Booking,MacOS,Java,logout or book another hotel,paymentDone,isLoggedIn:Boolean
449,PassengerDetails,Railway Booking,MacOS,Java,"add details of passenger with input of name , age , gender  , phone number ",x,x
450,PassengerDetails,Bus Booking,MacOS,Java,"add details of passenger with input of name , age , gender  , phone number ",x,x
451,PaymentFailedDialog,x,MacOS,Java,failed payment dialog,paymentFailed,x
452,PaymentSuccessfullDialog,x,MacOS,Java,successful payment dialog,paymentSuccessful,x
453,PaymentUI,x,MacOS,Java,payment  page with option like upi debit card and credit card,"amount,gstUpdated","paymentDone:Boolean,paymentSuccessful:Boolean,paymentFailed:Boolean"
454,RegisterUI,x,MacOS,Java,register page using username password and confirm password,register,isRegistered:Boolean
455,RoomRentCalculator,Hotel Booking,MacOS,Java,calculate fare using room type and number of person,"baseRentCost,roomTypeS,numGuests",rentingCost:Double
456,RoomType,Hotel Booking,MacOS,Java,room type and number of guests dropdown ,baseRentCost,"numGuests:Integer,roomTypeS:String"
457,SearchBookUI,Library Management,MacOS,Java,search box to enter book name,searchBook,searchString:String
458,TrainBookingConfirmed,Railway Booking,MacOS,Java,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
459,TrainDisplayUI,Railway Booking,MacOS,Java,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
460,BusBookingConfirmed,Bus Booking,MacOS,Java,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
461,BusDisplayUI,Bus Booking,MacOS,Java,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
462,VideoList,Online Video,MacOS,Java,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
463,YoutubeVideoPlay,Online Video,MacOS,Java,youtube video player with video id ,videoId,x
464,AddBookUI,Library Management,Windows,Java,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
465,AddBookUI,Supply Chain,Windows,Java,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
466,AgeDisplayUI,Educational,Windows,Java,display the age in years,age:Integer,x
467,AuthorNameAndGenre,Library Management,Windows,Java,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
468,AuthorNameAndGenre,Supply Chain,Windows,Java,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
469,BerthAvailabilty,Railway Booking,Windows,Java,"Check for available berths using the values like train number ,DOJ, from and to city",x,x
470,BerthAvailabilty,Bus Booking,Windows,Java,"Check for available berths using the values like train number ,DOJ, from and to city",x,x
471,BerthAvailabilty,Railway Booking,Windows,Java,Check for available berths after booking confirmation of train,x,x
472,BookSubmission,Railway Booking,Windows,Java,Display final booking confirmation after payment,x,x
473,BookAddedSuccessfullyDialog,Library Management,Windows,Java,book added sucessfully dialog,bookAddedSuccessful,x
474,BookAddedSuccessfullyDialog,Supply Chain,Windows,Java,book added sucessfully dialog,bookAddedSuccessful,x
475,BookList,Library Management,Windows,Java,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
476,BookList,Supply Chain,Windows,Java,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
477,BookRentingCost,Library Management,Windows,Java,book renting cost with number of days,bookRentCost,rentingCost:Double
478,CalculateAge,Railway Booking,Windows,Java,Calculate age using calendar,"day:String,month:String,year:String",age:Integer
479,CalculateAgeUI,Educational,Windows,Java,date of birth input ui using date picker,x,x
480,CityName,Hotel Booking,Windows,Java,Dropdown displaying all cities name,isLoggedIn,cityName:String
481,CityNameWithState,Railway Booking,Windows,Java,City name dropdown with state,x,x
482,Class,Railway Booking,Windows,Java,Display different class of train,x,x
483,ClassTypeAndQuota,Bus Booking,Windows,Java,class type dropdown and quota type dropdown,x,x
484,DateOfJourney,Bus Booking,Windows,Java,date of journey input,x,x
485,DateOfJourney,Railway Booking,Windows,Java,Display calendar to pick date of journey,x,x
486,EnterDateBooking,Hotel Booking,Windows,Java,date of booking input,baseRentCost,"day:String,month:String,year:String"
487,EnterDateUI,Educational,Windows,Java,DOB input date picker with date format dd-mm-yyyy,x,"day:String,month:String,year:String"
488,FromCityToCity,Bus Booking,Windows,Java,From city dropdown and to city dropdown select,x,x
489,FareCalculator,Railway Booking,Windows,Java,"Fare calculation according to distance, train class and number of persons of the train",x,x
490,FromCityToCityDOJ,Flight Booking,Windows,Java,From city dropdown and to city dropdown and date of journey select,x,x
491,FareCalculator,Railway Booking,Windows,Java,Fare calculation according to distance and train of the class,x,x
492,GetFlights,Flight Booking,Windows,Java,"get flights button to search for flights using from city name , to city name and date of journey",x,x
493,GetTrains,Railway Booking,Windows,Java,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
494,GSTCalculator,x,Windows,Java,gst calculate on amount or fare,rentingCost:Double,"amount:Double,gstUpdated:Boolean"
495,HotelList,Hotel Booking,Windows,Java,"hotels list display, select hotel to get base cost",ids,baseRentCost:Double
496,HotelRentCalculator,Hotel Booking,Windows,Java,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
497,HotelSearch,Hotel Booking,Windows,Java,search hotels using city name,cityName,ids:String[]
498,LibraryHomeUI,Library Management,Windows,Java,homepage for library with options to search and add book,isLoggedIn,"addBook:Boolean,searchBook:Boolean"
499,Login,Railway Booking,Windows,Java,Login using username and password with captcha protection,"loginDone,isLoggedIn",x
500,Login,Railway Booking,Windows,Java,Login using username and password ,x,"loginDone:Boolean,isLoggedIn:Boolean,register:Boolean"
501,LogoutBook,Hotel Booking,Windows,Java,Logout or book another hotel,paymentDone,isLoggedIn:Boolean
502,PassengerDetails,Railway Booking,Windows,Java,"Add details of passenger with input of name,  age,  gender, phone number ",x,x
503,PassengerDetails,Bus Booking,Windows,Java,"add details of passenger with input of name , age , gender  , phone number ",x,x
504,PaymentFailedDialog,x,Windows,Java,failed payment dialog,paymentFailed,x
505,Payment,Railway Booking,Windows,Java,"Payment page displaying options like credit card, debit card, UPI",paymentSuccessful,x
506,Payment,Railway Booking,Windows,Java,"Payment  page with option like upi debit card, credit card and also using cash","amount,gstUpdated","paymentDone:Boolean,paymentSuccessful:Boolean,paymentFailed:Boolean"
507,RegisterUI,x,Windows,Java,register page using username password and confirm password,register,isRegistered:Boolean
508,RoomRentCalculator,Hotel Booking,Windows,Java,calculate fare using room type and number of person,"baseRentCost,roomTypeS,numGuests",rentingCost:Double
509,RoomType,Hotel Booking,Windows,Java,room type and number of guests dropdown ,baseRentCost,"numGuests:Integer,roomTypeS:String"
510,SearchBookUI,Library Management,Windows,Java,search box to enter book name,searchBook,searchString:String
511,TrainBookingConfirmed,Railway Booking,Windows,Java,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
512,TrainDisplayUI,Railway Booking,Windows,Java,"Display list of trains with details like train number, train name, class and date",x,x
513,TrainNumber,Railway Booking,Windows,Java,Display unique id of train number,x,x
514,BusDisplayUI,Bus Booking,Windows,Java,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
515,VideoList,Online Video,Windows,Java,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
516,YoutubeVideoPlay,Online Video,Windows,Java,youtube video player with video id ,videoId,x
517,AddBookUI,Library Management,MacOS,JavaFX,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
518,AddBookUI,Supply Chain,MacOS,JavaFX,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
519,AgeDisplayUI,Educational,MacOS,JavaFX,display the age in years,age:Integer,x
520,AuthorNameAndGenre,Library Management,MacOS,JavaFX,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
521,AuthorNameAndGenre,Supply Chain,MacOS,JavaFX,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
522,BerthAvailabilty,Railway Booking,MacOS,JavaFX,"check for available berths using the values like train number ,DOJ, from and to city",x,x
523,BookAddedSuccessfullyDialog,Library Management,MacOS,JavaFX,book added sucessfully dialog,bookAddedSuccessful,x
524,BookAddedSuccessfullyDialog,Supply Chain,MacOS,JavaFX,book added sucessfully dialog,bookAddedSuccessful,x
525,BookList,Library Management,MacOS,JavaFX,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
526,BookList,Supply Chain,MacOS,JavaFX,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
527,BookRentingCost,Library Management,MacOS,JavaFX,book renting cost with number of days,bookRentCost,rentingCost:Double
528,CalculateAge,Educational,MacOS,JavaFX,calculate age using dob with date format dd-mm-yyyy,"day:String,month:String,year:String",age:Integer
529,CalculateAgeUI,Educational,MacOS,JavaFX,date of birth input ui using date picker,x,x
530,CityNameDropdown,Hotel Booking,MacOS,JavaFX,city name dropdown,isLoggedIn,cityName:String
531,CityNameWithState,Hotel Booking,MacOS,JavaFX,city name dropdown with state,x,x
532,ClassTypeAndQuota,Railway Booking,MacOS,JavaFX,class type dropdown and quota type dropdown,x,x
533,ClassTypeAndQuota,Bus Booking,MacOS,JavaFX,class type dropdown and quota type dropdown,x,x
534,DateOfJourney,Bus Booking,MacOS,JavaFX,date of journey input,x,x
535,DateOfJourney,Railway Booking,MacOS,JavaFX,date of journey input,x,x
536,EnterDateBooking,Hotel Booking,MacOS,JavaFX,date of booking input,baseRentCost,"day:String,month:String,year:String"
537,EnterDateUI,Educational,MacOS,JavaFX,DOB input date picker with date format dd-mm-yyyy,x,"day:String,month:String,year:String"
538,FromCityToCity,Bus Booking,MacOS,JavaFX,From city dropdown and to city dropdown select,x,x
539,FromCityToCity,Railway Booking,MacOS,JavaFX,From city dropdown and to city dropdown select,x,x
540,FromCityToCityDOJ,Flight Booking,MacOS,JavaFX,From city dropdown and to city dropdown and date of journey select,x,x
541,FromDateToDate,Hotel Booking,MacOS,JavaFX,from date and to date input,x,x
542,GetFlights,Flight Booking,MacOS,JavaFX,"get flights button to search for flights using from city name , to city name and date of journey",x,x
543,GetTrains,Railway Booking,MacOS,JavaFX,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
544,GSTCalculator,x,MacOS,JavaFX,gst calculate on amount or fare,rentingCost:Double,"amount:Double,gstUpdated:Boolean"
545,HotelList,Hotel Booking,MacOS,JavaFX,"hotels list display, select hotel to get base cost",ids,baseRentCost:Double
546,HotelRentCalculator,Hotel Booking,MacOS,JavaFX,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
547,HotelSearch,Hotel Booking,MacOS,JavaFX,search hotels using city name,cityName,ids:String[]
548,LibraryHomeUI,Library Management,MacOS,JavaFX,homepage for library with options to search and add book,isLoggedIn,"addBook:Boolean,searchBook:Boolean"
549,LoginError,x,MacOS,JavaFX,login error page,"loginDone,isLoggedIn",x
550,LoginUI,x,MacOS,JavaFX,login using username password with register option,x,"loginDone:Boolean,isLoggedIn:Boolean,register:Boolean"
551,LogoutBook,Hotel Booking,MacOS,JavaFX,logout or book another hotel,paymentDone,isLoggedIn:Boolean
552,PassengerDetails,Railway Booking,MacOS,JavaFX,"add details of passenger with input of name , age , gender  , phone number ",x,x
553,PassengerDetails,Bus Booking,MacOS,JavaFX,"add details of passenger with input of name , age , gender  , phone number ",x,x
554,PaymentFailedDialog,x,MacOS,JavaFX,failed payment dialog,paymentFailed,x
555,PaymentSuccessfullDialog,x,MacOS,JavaFX,successful payment dialog,paymentSuccessful,x
556,PaymentUI,x,MacOS,JavaFX,payment  page with option like upi debit card and credit card,"amount,gstUpdated","paymentDone:Boolean,paymentSuccessful:Boolean,paymentFailed:Boolean"
557,RegisterUI,x,MacOS,JavaFX,register page using username password and confirm password,register,isRegistered:Boolean
558,RoomRentCalculator,Hotel Booking,MacOS,JavaFX,calculate fare using room type and number of person,"baseRentCost,roomTypeS,numGuests",rentingCost:Double
559,RoomType,Hotel Booking,MacOS,JavaFX,room type and number of guests dropdown ,baseRentCost,"numGuests:Integer,roomTypeS:String"
560,SearchBookUI,Library Management,MacOS,JavaFX,search box to enter book name,searchBook,searchString:String
561,TrainBookingConfirmed,Railway Booking,MacOS,JavaFX,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
562,TrainDisplayUI,Railway Booking,MacOS,JavaFX,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
563,BusBookingConfirmed,Bus Booking,MacOS,JavaFX,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
564,BusDisplayUI,Bus Booking,MacOS,JavaFX,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
565,VideoList,Online Video,MacOS,JavaFX,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
566,YoutubeVideoPlay,Online Video,MacOS,JavaFX,youtube video player with video id ,videoId,x
567,AddBookUI,Library Management,Windows,JavaFX,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
568,AddBookUI,Supply Chain,Windows,JavaFX,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
569,AgeDisplayUI,Educational,Windows,JavaFX,display the age in years,age:Integer,x
570,AuthorNameAndGenre,Library Management,Windows,JavaFX,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
571,AuthorNameAndGenre,Supply Chain,Windows,JavaFX,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
572,BerthAvailabilty,Railway Booking,Windows,JavaFX,"check for available berths using the values like train number ,DOJ, from and to city",x,x
573,BerthAvailabilty,Bus Booking,Windows,JavaFX,"check for available berths using the values like train number ,DOJ, from and to city",x,x
574,BerthAvailabilty,Bus Booking,Windows,JavaFX,"check for available berths using the values like train number ,DOJ, from and to city",x,x
575,BerthAvailabilty,Bus Booking,Windows,JavaFX,"check for available berths using the values like train number ,DOJ, from and to city",x,x
576,BookAddedSuccessfullyDialog,Library Management,Windows,JavaFX,book added sucessfully dialog,bookAddedSuccessful,x
577,BookAddedSuccessfullyDialog,Supply Chain,Windows,JavaFX,book added sucessfully dialog,bookAddedSuccessful,x
578,BookList,Library Management,Windows,JavaFX,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
579,BookList,Supply Chain,Windows,JavaFX,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
580,BookRentingCost,Library Management,Windows,JavaFX,book renting cost with number of days,bookRentCost,rentingCost:Double
581,CalculateAge,Educational,Windows,JavaFX,calculate age using dob with date format dd-mm-yyyy,"day:String,month:String,year:String",age:Integer
582,CalculateAgeUI,Educational,Windows,JavaFX,date of birth input ui using date picker,x,x
583,CityNameDropdown,Hotel Booking,Windows,JavaFX,city name dropdown,isLoggedIn,cityName:String
584,CityNameWithState,Hotel Booking,Windows,JavaFX,city name dropdown with state,x,x
585,ClassTypeAndQuota,Railway Booking,Windows,JavaFX,class type dropdown and quota type dropdown,x,x
586,ClassTypeAndQuota,Bus Booking,Windows,JavaFX,class type dropdown and quota type dropdown,x,x
587,DateOfJourney,Bus Booking,Windows,JavaFX,date of journey input,x,x
588,DateOfJourney,Railway Booking,Windows,JavaFX,date of journey input,x,x
589,EnterDateBooking,Hotel Booking,Windows,JavaFX,date of booking input,baseRentCost,"day:String,month:String,year:String"
590,EnterDateUI,Educational,Windows,JavaFX,DOB input date picker with date format dd-mm-yyyy,x,"day:String,month:String,year:String"
591,FromCityToCity,Bus Booking,Windows,JavaFX,From city dropdown and to city dropdown select,x,x
592,FromCityToCity,Railway Booking,Windows,JavaFX,From city dropdown and to city dropdown select,x,x
593,FromCityToCityDOJ,Flight Booking,Windows,JavaFX,From city dropdown and to city dropdown and date of journey select,x,x
594,FromDateToDate,Hotel Booking,Windows,JavaFX,from date and to date input,x,x
595,GetFlights,Flight Booking,Windows,JavaFX,"get flights button to search for flights using from city name , to city name and date of journey",x,x
596,GetTrains,Railway Booking,Windows,JavaFX,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
597,GSTCalculator,x,Windows,JavaFX,gst calculate on amount or fare,rentingCost:Double,"amount:Double,gstUpdated:Boolean"
598,HotelList,Hotel Booking,Windows,JavaFX,"hotels list display, select hotel to get base cost",ids,baseRentCost:Double
599,HotelRentCalculator,Hotel Booking,Windows,JavaFX,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
600,HotelSearch,Hotel Booking,Windows,JavaFX,search hotels using city name,cityName,ids:String[]
601,LibraryHomeUI,Library Management,Windows,JavaFX,homepage for library with options to search and add book,isLoggedIn,"addBook:Boolean,searchBook:Boolean"
602,LoginError,x,Windows,JavaFX,login error page,"loginDone,isLoggedIn",x
603,LoginUI,x,Windows,JavaFX,login using username password with register option,x,"loginDone:Boolean,isLoggedIn:Boolean,register:Boolean"
604,LogoutBook,Hotel Booking,Windows,JavaFX,logout or book another hotel,paymentDone,isLoggedIn:Boolean
605,PassengerDetails,Railway Booking,Windows,JavaFX,"add details of passenger with input of name , age , gender  , phone number ",x,x
606,PassengerDetails,Bus Booking,Windows,JavaFX,"add details of passenger with input of name , age , gender  , phone number ",x,x
607,PaymentFailedDialog,x,Windows,JavaFX,failed payment dialog,paymentFailed,x
608,PaymentSuccessfullDialog,x,Windows,JavaFX,successful payment dialog,paymentSuccessful,x
609,PaymentUI,x,Windows,JavaFX,payment  page with option like upi debit card and credit card,"amount,gstUpdated","paymentDone:Boolean,paymentSuccessful:Boolean,paymentFailed:Boolean"
610,RegisterUI,x,Windows,JavaFX,register page using username password and confirm password,register,isRegistered:Boolean
611,RoomRentCalculator,Hotel Booking,Windows,JavaFX,calculate fare using room type and number of person,"baseRentCost,roomTypeS,numGuests",rentingCost:Double
612,RoomType,Hotel Booking,Windows,JavaFX,room type and number of guests dropdown ,baseRentCost,"numGuests:Integer,roomTypeS:String"
613,SearchBookUI,Library Management,Windows,JavaFX,search box to enter book name,searchBook,searchString:String
614,TrainBookingConfirmed,Railway Booking,Windows,JavaFX,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
615,TrainDisplayUI,Railway Booking,Windows,JavaFX,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
616,BusBookingConfirmed,Bus Booking,Windows,JavaFX,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
617,BusDisplayUI,Bus Booking,Windows,JavaFX,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
618,VideoList,Online Video,Windows,JavaFX,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
619,YoutubeVideoPlay,Online Video,Windows,JavaFX,youtube video player with video id ,videoId,x
620,AddBookUI,Library Management,Linux,Php,"add book ui using author name, book name and year",x,x
621,AddBookUI,Supply Chain,Linux,Php,"add book ui using author name, book name and year",x,x
622,AuthorAndGenre,Library Management,Linux,Php,author name dropdown and genre dropdown,x,x
623,AuthorAndGenre,Supply Chain,Linux,Php,author name dropdown and genre dropdown,x,x
624,BerthAvailabilty,Railway Booking,Linux,Php,"check for available berths using the values like train number ,DOJ, from and to city",x,x
625,BerthAvailabilty,Bus Booking,Linux,Php,"check for available berths using the values like train number ,DOJ, from and to city",x,x
626,BerthAvailabilty,Bus Booking,Linux,Php,"check for available berths using the values like train number ,DOJ, from and to city",x,x
627,BerthAvailabilty,Bus Booking,Linux,Php,"check for available berths using the values like train number ,DOJ, from and to city",x,x
628,BookAddedSuccessfullyDialog,Library Management,Linux,Php,book added sucessfully dialog,bookAddedSuccessful,x
629,BookAddedSuccessfullyDialog,Supply Chain,Linux,Php,book added sucessfully dialog,bookAddedSuccessful,x
630,BookingConfirmation,Hotel Booking,Linux,Php,confirmation page display,x,x
631,BookList,Library Management,Linux,Php,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
632,BookList,Supply Chain,Linux,Php,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
633,CalculateAgeScreen,Educational,Linux,Php,Calculate age using date picker and date of birth,loggedIn,age
634,CityNameDropdown,Hotel Booking,Linux,Php,city name dropdown,isLoggedIn,cityName:String
635,CityNameWithState,Hotel Booking,Linux,Php,city name dropdown with state,x,x
636,ClassTypeAndQuota,Railway Booking,Linux,Php,class type dropdown and quota type dropdown,x,x
637,ClassTypeAndQuota,Bus Booking,Linux,Php,class type dropdown and quota type dropdown,x,x
638,DateOfJourney,Bus Booking,Linux,Php,date of journey input,x,x
639,DateOfJourney,Railway Booking,Linux,Php,date of journey input,x,x
640,DisplayAgeOutput,Educational,Linux,Php,Display the age ,age,x
641,FlightBookingConfirmed,Flight Booking,Linux,Php,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
642,FlightClassType,Flight Booking,Linux,Php,select flight class type from dropdown,x,x
643,FlightDisplayUI,Flight Booking,Linux,Php,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
644,FromCityToCity,Bus Booking,Linux,Php,From city dropdown and to city dropdown select,x,x
645,FromCityToCity,Railway Booking,Linux,Php,From city dropdown and to city dropdown select,x,x
646,FromCityToCityDOJ,Flight Booking,Linux,Php,From city dropdown and to city dropdown and date of journey select,x,x
647,FromDateToDate,Hotel Booking,Linux,Php,from date and to date input,x,x
648,GetFlights,Flight Booking,Linux,Php,"get flights button to search for flights using from city name , to city name and date of journey",x,x
649,GetTrains,Railway Booking,Linux,Php,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
650,GSTCalculator,x,Linux,Php,gst calculate on amount or fare,amount,amount
651,HotelListUI,Hotel Booking,Linux,Php,list of hotels with hotel select from list,x,x
652,HotelRentCalculator,Hotel Booking,Linux,Php,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
653,HotelSearch,Hotel Booking,Linux,Php,search for hotels using city and state name,x,x
654,LoginCaptchaScreen,x,Linux,Php,"Login using username, password and captcha",x,loggedIn
655,LoginCheck,x,Linux,Php,check username and password validity,"username,password",isLoggedIn
656,LoginErrorPage,x,Linux,Php,login failed error page,x,x
657,LoginScreen,x,Linux,Php,Login using username and password,x,loggedIn
658,LoginScreen1,x,Linux,Php,"login using username ,password and register option",x,"userRegistered,loggedIn"
659,Logout,x,Linux,Php,logout button,paymentStatus,loggedIn
660,NumberOfItems,Ecommerce,Linux,Php,number of items dropdown,selectedProduct,numberOfItems
661,PassengerDetails,Railway Booking,Linux,Php,"add details of passenger with input of name , age , gender  , phone number ",x,x
662,PassengerDetails,Bus Booking,Linux,Php,"add details of passenger with input of name , age , gender  , phone number ",x,x
663,PaymentFailed,x,Linux,Php,payment failed page for the given amount,x,x
664,PaymentPageUI,x,Linux,Php,"payment page with options like credit card, debit card and cash",x,x
